CCI;EMA;LEVERAGE;RATIO;MAX_ORDERS;ATR_Length;Coeff;Profit;Trade Count;Profitable Trade Percentage;Max Drawdown;Test Date
64;193;14;0,45;2;13;1,01;612,32;55;61,82;1101,51;1721118865245
5;25;9;1,52;2;10;2,32;106,87;55;58,18;144,29;1721119073953
37;6;13;1,06;4;90;2,30;1109,15;53;50,94;259,60;1721122998461
45;76;15;1,21;1;107;1,59;779565,74;78;67,95;29875,32;1721133764301
103;225;5;3,36;7;155;0,87;NaN;10;0,00;0,00;1721213887634
120;226;1;2,67;3;44;2,52;NaN;15;0,00;0,00;1721214060459
102;271;15;0,80;1;148;4,63;11188,07;52;73,08;784,16;1721215462599
34;99;15;0,95;1;193;8,78;93639,55;107;70,09;46399,84;1721217221432
34;99;15;0,95;1;194;8,81;93639,55;107;70,09;46399,84;1721249084403
96;258;15;0,76;1;119;3,99;19983,98;53;69,81;817,06;1721289828513
34;99;15;0,95;1;192;8,77;65816,60;106;69,81;32622,96;1721291348659
34;99;15;0,95;1;161;8,92;11557,30;106;68,87;4607,62;1721542788038
34;99;15;0,95;1;160;8,89;11557,30;106;68,87;4607,62;1721545096252
